age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,mode,owngun,polviews,pornlaw2,pray,pres08,reborn_r,science_quiz,sex,sibs,social_connect,south,teensex,tolerance,tvhours,vetyears,wordsum,degree_HS,degree_Junior.Coll,degree_Bachelor.deg,degree_Graduate.deg,marital_Widowed,marital_Divorced,marital_Separated,marital_Never.married,news_FEW.TIMES.A.WEEK,news_ONCE.A.WEEK,news_LESS.THAN.ONCE.WK,news_NEVER,partyid_3_Ind,partyid_3_Rep,relig_CATHOLIC,relig_JEWISH,relig_NONE,relig_OTHER,relig_BUDDHISM,relig_HINDUISM,relig_OTHER.EASTERN,relig_MOSLEM.ISLAM,relig_ORTHODOX.CHRISTIAN,relig_CHRISTIAN,relig_NATIVE.AMERICAN,relig_INTER.NONDENOMINATIONAL,social_cons3_Mod,social_cons3_Conserv,spend3_Mod,spend3_Liberal,zodiac_TAURUS,zodiac_GEMINI,zodiac_CANCER,zodiac_LEO,zodiac_VIRGO,zodiac_LIBRA,zodiac_SCORPIO,zodiac_SAGITTARIUS,zodiac_CAPRICORN,zodiac_AQUARIUS,zodiac_PISCES
51,5,1,0,0,2,1,1,0,1,0,1,3,22,0,0,1,0,3,15,0,1,0,1,1,0,0,7,1,0,6,0,0,4,3,0,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
28,2,1,0,1,0,0,0,1,0,0,0,3,19,0,0,1,0,3,22,0,1,2,1,5,0,0,7,0,1,10,0,2,14,3,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,7,1,0,0,3,1,1,1,1,0,1,2,9,0,1,1,0,0,22,0,1,1,0,0,1,0,7,1,0,6,0,0,5,1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,3,0,0,0,2,0,0,1,0,0,0,3,7,0,0,1,1,3,24,0,1,3,1,1,0,0,8,0,3,5,0,0,14,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,3,0,0,0,2,1,1,1,1,0,1,3,22,0,1,1,0,3,20,0,1,2,1,0,0,0,8,1,5,5,0,0,8,2,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
43,6,1,0,0,3,1,1,1,1,0,1,4,28,0,1,1,0,3,20,0,1,3,1,0,0,0,6,1,1,5,0,0,8,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,4,5,0,0,2,0,0,1,1,0,1,3,28,0,1,2,1,2,9,0,1,3,1,3,0,0,4,1,6,3,0,0,11,5,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
32,0,2,0,0,0,0,0,1,0,0,0,2,22,0,0,1,0,3,24,0,1,2,0,3,0,0,5,1,1,4,0,1,13,2,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,2,2,0,0,2,1,1,1,1,0,1,3,31,1,0,0,0,3,23,0,1,1,1,4,0,0,8,0,2,7,0,2,10,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0,4,0,1,0,0,1,1,0,0,1,4,28,0,1,0,0,2,23,1,1,3,1,5,0,0,8,1,2,7,0,0,13,2,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
